"","country_code","country","region","year","life_expect","life_exp60","adult_mortality","infant_mort","age1_4mort","alcohol","bmi","age5_19thinness","age5_19obesity","hepatitis","measles","polio","diphtheria","basic_water","doctors","hospitals","gni_capita","gghe_d","che_gdp","une_pop","une_infant","une_life","une_hiv","une_gni","une_poverty","une_edu_spend","une_literacy","une_school","PM_value","income_group","health_exp","Developed / Developing Countries"
"1","AFG","Afghanistan","Eastern Mediterranean",2000,55.89618,15.1462,316.0496,0.098245,0.01105,NA,21.7,20.6,0.6,NA,27,24,24,27.7719,NA,NA,NA,NA,NA,20779.953,90.6,55.841,0.1,NA,NA,NA,NA,NA,100,"Low income",NA,"Developing"
"2","AFG","Afghanistan","Eastern Mediterranean",2001,56.52523,15.20886,307.2416,0.095925,0.010625,NA,21.8,20.4,0.7,NA,37,35,33,27.79726,1.899,NA,NA,NA,NA,21606.988,88,56.308,0.1,NA,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
"3","AFG","Afghanistan","Eastern Mediterranean",2002,57.43997,15.24703,292.343,0.09333,0.01013,NA,21.9,20.2,0.8,NA,35,36,36,29.90076,NA,NA,870,0.08418,9.44339,22600.77,85.4,56.784,0.1,NA,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
"4","AFG","Afghanistan","Eastern Mediterranean",2003,57.971,15.35566,286.4569,0.09047,0.009655,NA,22,20,0.9,NA,39,41,41,32.00507,NA,NA,920,0.65096,8.94126,23680.871,82.8,57.271,0.1,NA,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
"5","AFG","Afghanistan","Eastern Mediterranean",2004,58.42978,15.44257,281.8943,0.087595,0.00921,NA,22.1,19.8,1,NA,48,50,50,34.12623,NA,NA,920,0.54293,9.80847,24726.684,80.1,57.772,0.1,NA,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
"6","AFG","Afghanistan","Eastern Mediterranean",2005,58.90924,15.52284,277.1813,0.08463,0.008785,0.01623,22.2,19.6,1.1,NA,50,58,58,36.26526,NA,NA,1020,0.52918,9.94829,25654.277,77.4,58.29,0.1,NA,NA,NA,NA,NA,100,"Low income",NA,"Developing"
"7","AFG","Afghanistan","Eastern Mediterranean",2006,59.23066,15.61361,275.8199,0.081555,0.00832,0.02618,22.3,19.4,1.2,NA,53,58,58,38.40636,1.596,NA,1080,0.49784,10.62277,26433.049,74.7,58.826,0.1,NA,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
"8","AFG","Afghanistan","Eastern Mediterranean",2007,59.62808,15.70337,272.5923,0.07862,0.00789,0.01801,22.4,19.2,1.3,63,55,63,63,40.84418,1.743,NA,1230,0.55995,9.90467,27100.536,72,59.375,0.1,NA,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
"9","AFG","Afghanistan","Eastern Mediterranean",2008,60.23545,15.80124,264.8989,0.075625,0.0075,0.02756,22.5,19,1.5,64,59,64,64,43.31506,1.744,NA,1270,0.6278,10.2565,27722.276,69.4,59.93,0.1,NA,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
"10","AFG","Afghanistan","Eastern Mediterranean",2009,60.71753,15.87475,259.8107,0.072655,0.00708499999999999,0.00972,22.6,18.9,1.6,63,60,63,63,45.81909,2.126,NA,1510,0.5319,9.81849,28394.813,66.8,60.484,0.1,1450,NA,NA,NA,NA,NA,"Low income",NA,"Developing"
